solution.name,solution.number,nozzle,orifice.size,pressure,rep,dv10,dv50,dv90,rs,fines (<200),density,viscosity,ph,conductivity,surface.tension
water,1,AI80,0.5,30,1,429.3,811.49,1204.86,0.96,0.86,0.99871,1.001,7.78,769,
water,1,AI80,0.5,30,2,428.03,812.17,1207.09,0.96,0.95,0.99872,1,7.81,771,
water,1,AI80,0.5,30,3,424.22,807.37,1205.34,0.97,1.02,0.99872,1,7.77,774,
water,1,TADFD,0.3,30,1,462.73,845.07,1229.32,0.91,0.66,0.99871,1.001,7.78,769,
water,1,TADFD,0.3,30,2,456.52,838.92,1222.4,0.91,0.71,0.99872,1,7.81,771,
water,1,TADFD,0.3,30,3,455.45,836.6,1217.58,0.91,0.7,0.99872,1,7.77,774,
water,1,TADFD,0.6,30,1,462.22,863.78,1261.57,0.93,0.63,0.99871,1.001,7.78,769,
water,1,TADFD,0.6,30,2,463.54,869.44,1269.99,0.93,0.63,0.99872,1,7.81,771,
water,1,TADFD,0.6,30,3,466.67,868.82,1269.77,0.92,0.61,0.99872,1,7.77,774,
water,1,TDXLD,0.3,30,1,454.46,842.05,1203.77,0.89,0.6,0.99871,1.001,7.78,769,
water,1,TDXLD,0.3,30,2,457.41,846.78,1212.69,0.89,0.59,0.99872,1,7.81,771,
water,1,TDXLD,0.3,30,3,455.67,849.14,1209.15,0.89,0.59,0.99872,1,7.77,774,
water,1,TDXLD,0.4,30,1,479.15,876.54,1271.44,0.9,0.58,0.99871,1.001,7.78,769,
water,1,TDXLD,0.4,30,2,487.64,878.74,1259.46,0.88,0.38,0.99872,1,7.81,771,
water,1,TDXLD,0.4,30,3,492.02,887.36,1292.48,0.9,0.38,0.99872,1,7.77,774,
water,1,TDXLD,0.5,30,1,540.31,980.5,1423,0.9,0.21,0.99871,1.001,7.78,769,
water,1,TDXLD,0.5,30,2,541.97,983.36,1430.96,0.9,0.2,0.99872,1,7.81,771,
water,1,TDXLD,0.5,30,3,545.56,993.47,1483.8,0.94,0.2,0.99872,1,7.77,774,
water,1,TDXLD,0.6,30,1,593.11,1063.85,1525.59,0.88,0.14,0.99871,1.001,7.78,769,
water,1,TDXLD,0.6,30,2,600.62,1063.74,1527.72,0.87,0.14,0.99872,1,7.81,771,
water,1,TDXLD,0.6,30,3,603.48,1073.15,1566.19,0.9,0.13,0.99872,1,7.77,774,
water,1,ULD,0.4,30,1,379.81,697.24,1029.86,0.93,1.15,0.99871,1.001,7.78,769,
water,1,ULD,0.4,30,2,376.89,694.07,1031.91,0.94,1.22,0.99872,1,7.81,771,
water,1,ULD,0.4,30,3,377.78,697.43,1037.73,0.95,1.18,0.99872,1,7.77,774,
water,1,ULD,0.5,30,1,364.76,673.16,993.57,0.93,1.42,0.99871,1.001,7.78,769,
water,1,ULD,0.5,30,2,361.26,669.29,990.77,0.94,1.52,0.99872,1,7.81,771,
water,1,ULD,0.5,30,3,362.92,670.9,992.73,0.94,1.44,0.99872,1,7.77,774,
water,1,TTI,0.3,30,1,443.87,847.21,1245.19,0.95,0.8,0.99871,1.001,7.78,769,
water,1,TTI,0.3,30,2,443.6,842.65,1229.72,0.93,0.82,0.99872,1,7.81,771,
water,1,TTI,0.3,30,3,441.93,841.24,1230.9,0.94,0.82,0.99872,1,7.77,774,
water,1,TTI,0.4,30,1,456.2,862.16,1263.91,0.94,0.66,0.99871,1.001,7.78,769,
water,1,TTI,0.4,30,2,459.06,863.95,1270.79,0.94,0.61,0.99872,1,7.81,771,
water,1,TTI,0.4,30,3,455.67,859.31,1270.2,0.95,0.6,0.99872,1,7.77,774,
water,1,TTI,0.5,30,1,448.58,880.3,1350.75,1.02,0.65,0.99871,1.001,7.78,769,
water,1,TTI,0.5,30,2,442.26,870.58,1329.51,1.02,0.75,0.99872,1,7.81,771,
water,1,TTI,0.5,30,3,445,874.52,1333.72,1.02,0.71,0.99872,1,7.77,774,
water,1,TTI,0.6,30,1,408.42,826.04,1286.2,1.06,1.04,0.99871,1.001,7.78,769,
water,1,TTI,0.6,30,2,408.25,815.61,1284.83,1.07,0.97,0.99872,1,7.81,771,
water,1,TTI,0.6,30,3,402.15,811.34,1289.85,1.09,1.01,0.99872,1,7.77,774,
water,1,AI80,0.3,40,1,366.35,691.66,1018.63,0.94,1.48,0.99871,1.001,7.78,769,
water,1,AI80,0.3,40,2,366.62,695.61,1028.67,0.95,1.48,0.99872,1,7.81,771,
water,1,AI80,0.3,40,3,368.51,698.21,1039.55,0.96,1.43,0.99872,1,7.77,774,
water,1,AI110,0.3,40,1,324.44,617.67,938.04,0.99,2.24,0.99871,1.001,7.78,769,
water,1,AI110,0.3,40,2,320.6,612.92,933.58,1,2.39,0.99872,1,7.81,771,
water,1,AI110,0.3,40,3,322.91,614.81,942.38,1.01,2.27,0.99872,1,7.77,774,
water,1,AI80,0.5,40,1,371.1,725.83,1128.86,1.04,1.64,0.99871,1.001,7.78,769,
water,1,AI80,0.5,40,2,370.15,721.14,1121.9,1.04,1.64,0.99872,1,7.81,771,
water,1,AI80,0.5,40,3,370.11,722,1127.05,1.05,1.67,0.99872,1,7.77,774,
water,1,TADFD,0.3,40,1,382.38,729.13,1105.49,0.99,1.43,0.99871,1.001,7.78,769,
water,1,TADFD,0.3,40,2,389.48,740.4,1117.69,0.98,1.32,0.99872,1,7.81,771,
water,1,TADFD,0.3,40,3,385.77,735.31,1111.89,0.99,1.36,0.99872,1,7.77,774,
water,1,TADFD,0.6,40,1,413.03,778.35,1171.14,0.97,0.98,0.99871,1.001,7.78,769,
water,1,TADFD,0.6,40,2,407.9,770,1167.47,0.99,1.02,0.99872,1,7.81,771,
water,1,TADFD,0.6,40,3,409.12,773.77,1180.68,1,1.02,0.99872,1,7.77,774,
water,1,TDXLD,0.3,40,1,424.61,822.36,1655.63,1.5,0.83,0.99871,1.001,7.78,769,
water,1,TDXLD,0.3,40,2,431.82,838.26,1843.88,1.68,0.79,0.99872,1,7.81,771,
