trt,rep,nozzle.spacing,boom.height,pressure,nozzle,solution.name,density,viscosity,surface.tension,cv
28,1,30,30,40,TTI11004,dicamba,1.00128,1.026,71.51,9.046110268
28,2,30,30,40,TTI11004,dicamba,1.00128,1.027,71.57,4.97655904
28,3,30,30,40,TTI11004,dicamba,1.00128,1.027,71.57,4.157811192
29,1,20,24,20,TTI11004,dicamba,1.00128,1.026,71.51,5.31885326
29,2,20,24,20,TTI11004,dicamba,1.00128,1.027,71.57,4.846803937
29,3,20,24,20,TTI11004,dicamba,1.00128,1.027,71.57,4.736155554
30,1,20,30,20,TTI11004,dicamba,1.00128,1.026,71.51,2.988935055
30,2,20,30,20,TTI11004,dicamba,1.00128,1.027,71.57,2.519933581
30,3,20,30,20,TTI11004,dicamba,1.00128,1.027,71.57,2.975322929
31,1,30,24,20,TTI11004,dicamba,1.00128,1.026,71.51,6.912690607
31,2,30,24,20,TTI11004,dicamba,1.00128,1.027,71.57,5.613414548
31,3,30,24,20,TTI11004,dicamba,1.00128,1.027,71.57,6.12841713
32,1,30,30,20,TTI11004,dicamba,1.00128,1.026,71.51,4.094152263
32,2,30,30,20,TTI11004,dicamba,1.00128,1.027,71.57,3.939333338
32,3,30,30,20,TTI11004,dicamba,1.00128,1.027,71.57,4.21149691
33,1,20,24,40,TDXL11004-D,dicamba,1.00128,1.026,71.51,11.85481346
33,2,20,24,40,TDXL11004-D,dicamba,1.00128,1.027,71.57,10.81504578
33,3,20,24,40,TDXL11004-D,dicamba,1.00128,1.027,71.57,10.63461699
34,1,20,30,40,TDXL11004-D,dicamba,1.00128,1.026,71.51,15.18806013
34,2,20,30,40,TDXL11004-D,dicamba,1.00128,1.027,71.57,15.43968514
34,3,20,30,40,TDXL11004-D,dicamba,1.00128,1.027,71.57,15.27061171
35,1,30,24,40,TDXL11004-D,dicamba,1.00128,1.026,71.51,19.89558898
35,2,30,24,40,TDXL11004-D,dicamba,1.00128,1.027,71.57,19.9560155
35,3,30,24,40,TDXL11004-D,dicamba,1.00128,1.027,71.57,20.15045957
36,1,30,30,40,TDXL11004-D,dicamba,1.00128,1.026,71.51,15.36590079
36,2,30,30,40,TDXL11004-D,dicamba,1.00128,1.027,71.57,14.8447626
36,3,30,30,40,TDXL11004-D,dicamba,1.00128,1.027,71.57,14.88715527
37,1,20,24,20,TDXL11004-D,dicamba,1.00128,1.026,71.51,17.30499818
37,2,20,24,20,TDXL11004-D,dicamba,1.00128,1.027,71.57,17.20326971
37,3,20,24,20,TDXL11004-D,dicamba,1.00128,1.027,71.57,17.06276833
38,1,20,30,20,TDXL11004-D,dicamba,1.00128,1.026,71.51,10.81772373
38,2,20,30,20,TDXL11004-D,dicamba,1.00128,1.027,71.57,10.94603902
